,Company,Location,Salary,Summary,Title,Job Category,City,State Code,ZIP,Area
586,CAFHE Inc.,"Plano, TX","$100,000 - $135,000 a year",Biostatistician will work in the company's Product Development group as the project statistician for multiple clinical studies....,Mid-level or Sr. Biostatistician (SAS),Other,Plano,TX,,
587,Guardant Health,"Redwood City, CA 94063",Not available,"Serves as study statistician on phase 2, 3 and 4 studies within study teams. Duties/Responsibilites....",Director of Statistical,Management,Redwood City,CA,94063,
588,Natera,Remote,Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...",Xifin Billing System Support Coordinator,Other,Remote,,,
589,Pfizer,"New York, NY 10017 (Midtown area)",Not available,"This role can be based in our New York, NY (HQ) or our La Jolla, CA office. JOB SUMMARY This role is a senior leadership position within Global Product...",Clinical Development Leader,Management,New York,NY,10017,(Midtown area)
590,Baylor College of Medicine,"Houston, TX",Not available,Writing of data analysis plans for grant applications and other statistical approaches depending on the needs of the CNRC faculty and the expertise of the...,Assistant Professor,Other,Houston,TX,,
591,Massachusetts General Hospital(MGH),"Boston, MA",Not available,"Select appropriate samples for testing, in collaboration with PI, statistician, and other study staff. EMNet's mission is to advance public health objectives...",Senior Clinical Research Coordinator - EMNET,Research,Boston,MA,,
592,Rakuten Aspyrian,"San Mateo, CA 94402 (Beresford area)",Not available,"As the Senior Statistical Programmer, you will work closely with colleagues (Medical, Clinical Scientists, Statisticians, Project Management, Medical Writing,...",Senior Statistical Programmer,Other,San Mateo,CA,94402,(Beresford area)
593,Harvard University,"Boston, MA",Not available,"It is comprised of over 100 statisticians, programmers, research scientists and other staff. Job Code405007 Financial Professional (N)....",Senior Grants Manager,Management,Boston,MA,,
594,Amazon.com,"Seattle, WA",Not available,"You will work with SW Developers, BI/Data Engineers, Statisticians, Economists and Research Scientists to get ahead of the biggest business challenges by...",Senior Business Intelligence Manager,Business Intelligence Analyst,Seattle,WA,,
595,BNP Paribas,"San Ramon, CA",Not available,"This position reports to the Data Analytics Manager in the CIP Fair Lending Data Analytics Team. We are seeking a qualified, creative, self-motivated...",Data Analytics Analyst—Compliance Statistician,Analytics,San Ramon,CA,,
596,IQVIA,"Plymouth Meeting, PA",Not available,"The Predictive Analytics team work hand-in-hand with statisticians, epidemiologists and disease area experts across the wider global RWI team, leveraging a vast...",Data Scientist,Data Scientist,Plymouth Meeting,PA,,
597,DZS Clinical Services,"Bound Brook, NJ",Not available,Support statisticians with computer programming tasks. Clinical Development Strategy....,Clinical Research Associate,Research,Bound Brook,NJ,,
598,VA Maryland Health Care System (VAMHCS),"Perry Point, MD 21902","$94,000 - $106,000 a year","Level Biostatistician/Statistician to work as lead statistician on CSP sponsored clinical studies and multisite, randomized clinical trials....",Senior Biostatistician,Other,Perry Point,MD,21902,
599,"The McConnell Group, Inc","Fairfield, CA",Not available,"Work with the primary investigator and/or statistician to refine and prepare data sets for analysis. The McConnell Group, Inc....",Research Assistant,Research,Fairfield,CA,,
600,The Henry M. Jackson Foundation,"Bethesda, MD 20889",Not available,Join the HJF Team! HJF is seeking a Statistician/Biostatistician III to support the Surgical Critical Care Initiative (SC2i) located at the Uniformed...,Statistician/Biostatistician III (Surgical Critical Care Ini...,Statistician,Bethesda,MD,20889,
601,Los Alamos National Laboratory,"Los Alamos, NM","$116,900 - $197,000 a year","Record of mentoring activities for students and early career statisticians. Statisticians, including several ASA fellows, as well as supporting personnel,...",Ph.D. Statistician (Scientist 4),Statistician,Los Alamos,NM,,
602,Natera,"Newark, NJ 07105",Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...",Account Support Representative,Other,Newark,NJ,07105,
603,Amazon.com,"Seattle, WA",Not available,"As a Data Scientist on the Topline team, you will collaborate directly with economists and statisticians to produce modeling solutions, you will partner with...",Sr. Data Scientist,Data Scientist,Seattle,WA,,
604,Highmark Health,"Pittsburgh, PA 15289 (Central Business District area)",Not available,Provides independent review of project work produced by other statisticians in the department. This job will act as the lead statistician for multiple projects...,Medicine Institute Biostatistician,Other,Pittsburgh,PA,15289,(Central Business District area)
605,Brigham & Women's Hospital(BWH),"Boston, MA",Not available,"As a member of the Ariadne Labs, the Project Manager will work on a broad team consisting of multiple PIs and internal and external project contributors, e.g....",Project Manager / Per Diem / Day / BWH Ariadne Labs,Management,Boston,MA,,
606,Atara Biotherapeutics,"Los Angeles, CA",Not available,Works in coordination with statisticians and programmer/analysts. We launched Atara Biotherapeutics in August 2012 to help patients with serious diseases and...,SAS Programmer - Clinical Data Management,Other,Los Angeles,CA,,
607,Pfizer,"Cambridge, MA",Not available,"Pfizer's ECD Statistics is looking for a motivated and experienced statistician with a solid background in nonclinical statistics, strong consulting skills, and...","Associate Director, Biostatistics, Nonclinical",Management,Cambridge,MA,,
608,SpringWorks Therapeutics,"Durham, NC",Not available,"Oncology) and will work with team members on the design of clinical studies including providing statistical methodology, reviewing protocols, developing the...",Biostatistician,Other,Durham,NC,,
609,Katalyst Healthcares & Life Sciences,"Alapocas, DE",Not available,This requirement may be waived for research oriented statisticians with demonstrated capabilities of developing and implementing new statistical methods....,Sr. Biostatistician,Other,Alapocas,DE,,
610,Takeda Pharmaceutical,"Boston, MA",Not available,"Principal Statistician in our Cambridge office. Principal Statistician, you will be empowered to provide statistical leadership and work in complex programs,...",Principal/Sr. Principal Statistician,Statistician,Boston,MA,,
611,Natera,Remote,Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...","Vice President, Oncology Sales",Other,Remote,,,
612,Hospital for Special Surgery,"New York, NY",Not available,Develops and maintains research databases with guidance from Principal Investigator and/or statistician. Performs data collection and data entry for studies as...,Research Coordinator,Research,New York,NY,,
613,Textio,"Seattle, WA 98104 (First Hill area)",Not available,"Textio writers are not linguists, statisticians, or data scientists. We believe that the future of writing is knowing who will respond to anything you write...",Director of Data Acquisition,Management,Seattle,WA,98104,(First Hill area)
614,JP Morgan Chase,"Wilmington, DE 19801",Not available,"Data scientist, statistician, and related professions) in a quantitative field:. Strategic Business Analysis Manager....","Strategic Business Analysis Manager/VP - Columbus, OH or Wil...",Management,Wilmington,DE,19801,
615,Sanofi,"Cambridge, MA 02142 (East Cambridge area)",Not available,"Provide leadership and guidance as the lead statistician on a project team or within a therapeutic area in Neuroscience. Associate Director, Biostatistics....",Associate Director Biostatistics,Management,Cambridge,MA,02142,(East Cambridge area)
616,Cardiovascular Research Foundation,"New York, NY 10022 (Midtown area)",Not available,"Works with programmers and statisticians, interfaces with project management, functional team members and investigators to ensure a timely, precise and accurate...","Manager, Device / Drug Safety",Management,New York,NY,10022,(Midtown area)
617,Sanofi,"Cambridge, MA 02142 (East Cambridge area)",Not available,"Provide leadership and guidance as the lead statistician on one or more project team(s) in Neuroscience, accountable for statistical aspects of clinical studies...",Director Biostatistics,Management,Cambridge,MA,02142,(East Cambridge area)
618,SAS Institute,"Cary, NC",Not available,"Open to doctoral candidates in statistics, biostatistics and related graduate departments in the United States, this fellowship offers the opportunity to work...",Statistical Summer Fellowship 2019 (PhD Candidates),Other,Cary,NC,,
619,Cara Therapeutics,"Stamford, CT 06902 (Downtown area)",Not available,"Participation, as lead statistician, in regulatory meetings. Serves as the lead statistician for Cara’s projects, providing strategic and statistical input into...",Director of Biostatistics,Management,Stamford,CT,06902,(Downtown area)
620,University of Michigan,"Ann Arbor, MI",Not available,How to Apply A cover letter is required for consideration for this position and should be attached as the first page of your resume. The cover letter should...,Claims Data Analyst Statistician Senior,Data Analyst,Ann Arbor,MI,,
622,JP Morgan Chase,"New York, NY 10017 (Midtown area)",Not available,"We are an intellectually diverse team of statisticians, economists, and other analytics professionals, focused on statistical modeling and optimization within...","CCB - Deposit Modeling Team - Price Optimization, Vice Presi...",Other,New York,NY,10017,(Midtown area)
623,University of Florida,"Jacksonville, FL",Not available,"The department also boasts of invaluable academic resources including large patient base, data manager, clinical trial nurse, dedicated statistician, academic...",ANDROLOGIST,Other,Jacksonville,FL,,
624,State of South Carolina,"Richland County, SC","$39,960 - $73,935 a year","A bachelor's degree and professional experience as a planner, researcher or statistician. Careers at DHEC:....",Research and Planning Administrator - 61006252,Research,Richland County,SC,,
625,Otsuka Pharmaceutical,"Princeton, NJ",Not available,"Apply commonly used data and statistical techniques for studies, keep current with new study and analytical approaches, and collaborate with subject matter...",Associate Director Heath Economics Outcomes Research (HEOR),Management,Princeton,NJ,,
626,Hallmark,"Kansas City, MO",Not available,"You will work in a team environment alongside a group of expert mathematicians, statisticians and data scientists....",Experienced Data Scientist,Data Scientist,Kansas City,MO,,
627,University of Massachusetts Medical School,"Worcester, MA",Not available,Analyze data in collaboration with senior statisticians beginning with univariate and multivariate analyses such as logistic regression and factor analysis for...,"Biostatistician, Ii",Other,Worcester,MA,,
628,Cincinnati Children's Hospital,"Cincinnati, OH 45229 (North Avondale area)",Not available,"Work on large-scale multi-disciplinary research projects in collaboration with statisticians, biologists and clinicians. Analyst and Sr....",Human Genetics Analyst-Bioinformatics (Dr. Hestand),Other,Cincinnati,OH,45229,(North Avondale area)
629,EMMES,"Rockville, MD 20850",Not available,The SAS Programmer collaborates with statisticians and data management staff to provide programming support for clinical research studies....,Senior SAS Programmer,Other,Rockville,MD,20850,
630,IQVIA,"Deerfield, IL",Not available,"As a statistician on our team you have the opportunity to work with extremely complex data and methodologies in a fast-paced, ever-changing environment...",Associate Statistics Director,Management,Deerfield,IL,,
631,JP Morgan Chase,"Wilmington, DE 19801",Not available,"Data scientist, statistician, and related professions) in a quantitative field:. Strategic Business Analysis Sr Associate....",Strategic Business Analysis II/Associate - Business Planning...,Other,Wilmington,DE,19801,
632,MaxisIT Inc,"Metuchen, NJ 08840",Not available,"Clinical requistions like Medical Writers, Clinical research Associates, Drug Safety Professionals, SAS programmers, Statisticians, Statistical Programmers,...",Clinical/Technical Recruiter,Other,Metuchen,NJ,08840,
633,AstraZeneca,"Gaithersburg, MD 20878",Not available,"Demonstrated ability to manage and mentor project statisticians. Provide operational, strategic, and technical direction to product and project level...","Director Clinical Biostatistics, Respiratory, Infectious Dis...",Management,Gaithersburg,MD,20878,
634,Children International,"Kansas City, MO 64131 (Legacy East area)",Not available,Lead Statistician and other CU&I team members. Children International is seeking a Data Science/Analytics summer intern....,Data Science & Analytics Summer Intern,Analytics,Kansas City,MO,64131,(Legacy East area)
635,University of Arizona,"Tucson, AZ","$57,000 a year",Consult with statisticians and/or work independently on the most appropriate statistical analyses for behavioral and neural data collected by the lab....,Assistant Research Scientist,Research,Tucson,AZ,,
636,Adaptimmune,"Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)",Not available,"Ability to work well with members of the study team including Clinical Trial Managers, Physicians, Statisticians, Programmers, Compliance and Regulatory....",Clinical Data Manager,Management,Philadelphia,PA,19112,(Marconi Plaza-Packer Park area)
637,Opinion Dynamics Corporation,"San Francisco Bay Area, CA",Not available,"Our ideal candidate is someone who is just as comfortable using the left-side of the brain as the right, enjoys a challenge, relishes learning new things, and...",CONSULTANT,Other,San Francisco Bay Area,CA,,
638,"Daiichi Sankyo, Inc.","Basking Ridge, NJ",Not available,"Additionally, this position interacts with study teams, as well as statisticians and programmers at CROs....",Associate Director Biostatistics,Management,Basking Ridge,NJ,,
639,Omatic Software,"North Charleston, SC 29405",Not available,"Conduct secondary research initiatives including gathering intelligence from industry associations, statisticians and other marketing experts....",Data Scientist,Data Scientist,North Charleston,SC,29405,
640,Olivet Nazarene University,"Bourbonnais, IL 60914",Not available,"Interns, student workers, contract employees, video/film/audio crews, photographers, and statisticians. The Graduate Assistant for Sports Information will...",Graduate Assistant - Sports Information Office,Other,Bourbonnais,IL,60914,
641,Yale New Haven Hospital,"New Haven, CT",Not available,"Manages the operations of complex projects involving multidisciplinary teams of physicians, statisticians, health services researchers, project coordinators,...",Project Manager,Management,New Haven,CT,,
642,Sanofi,"Cambridge, MA 02142 (East Cambridge area)",Not available,"Develop and maintain a strong working relationship with statisticians, modelers, pharmacometricians, translational scientists, RWE investigators, Advance...",RWE Data Analyst,Data Analyst,Cambridge,MA,02142,(East Cambridge area)
643,Omeros Corporation,"Seattle, WA 98101 (Downtown area)",Not available,"Prepare project summaries for regular status meetings and interact with Regulatory Statisticians. Head of Biostatistics, Data Management and Programming....","Head of Biostatistics, Data Management and Programming",Management,Seattle,WA,98101,(Downtown area)
644,Pfizer,"Cambridge, MA",Not available,"In depth knowledge of more than one area of statistics, all commonly used, that enables to exert broad influence via advice to numerous project statisticians....","Director, Biostatistics, Early Clinical Development",Management,Cambridge,MA,,
645,DZS Clinical Services,"Bound Brook, NJ",Not available,Support statisticians with computer programming tasks. Clinical Development Strategy....,Clinical Data Manager,Management,Bound Brook,NJ,,
646,Pharmapace,"San Diego, CA",Not available,Maintain efficient interfaces with internal and external customers and vendors with support of the collaborating statisticians....,Senior Analyst I,Other,San Diego,CA,,
647,Securonix,"Addison, TX 75001",Not available,"Work in a cross-disciplinary team of security researchers, statisticians, data scientists, and software engineers to solve complex security analytics problems....",Data Scientist (Spark MLib),Data Scientist,Addison,TX,75001,
648,LOCKHEED MARTIN CORPORATION,"Centennial, CO 80112",Not available,"5+ years' experience as a Statistician. As a Reliability Engineer / Statistician, your responsibilities will include:....","Reliability Engineer, Statistician",Statistician,Centennial,CO,80112,
649,Equifax,"St. Louis, MO 63146",Not available,"Responsibilities include gathering & refining requirements, interfacing with relevant business partners across the enterprise including Data Stewards, Analysts,...",Data Wrangler / Visualization Engineer,Data Engineer,St. Louis,MO,63146,
650,Harvard Pilgrim Health Care,"Boston, MA 02215 (Fenway-Kenmore area)",Not available,"Communicate, in person and on the telephone, with diverse groups of collaborators, including investigators, stakeholders, funders, statisticians, programmers...",Business Systems Analyst (TIDE),Business Analyst,Boston,MA,02215,(Fenway-Kenmore area)
651,The Henry M. Jackson Foundation,"Rockville, MD 20852",Not available,"Work with leadership, program staff, CNRM statisticians, and program investigators to achieve the goals of the research program. Join the HJF Team!...",Biostatistician (Clinical Trials),Other,Rockville,MD,20852,
652,"Rakuten Aspyrian, Inc.","San Mateo, CA",Not available,"As the Senior Statistical Programmer, you will work closely with colleagues (Medical, Clinical Scientists, Statisticians, Project Management, Medical Writing,...",Senior Statistical Programmer,Other,San Mateo,CA,,
653,S&P Global,"New York, NY",Not available,"Our Analytic Development Group (ADG) is an elite, global team of highly skilled and versatile individuals (including PhDs, CFAs, FRMs, economists, statisticians...",ASSOC DIR-QUANT ANALYTICS,Analytics,New York,NY,,
654,Intrexon Corporation.,"South San Francisco, CA",Not available,DUTIES AND RESPONSIBILITIES: Provide statistical analysis methodologies for high-throughput screening and imaging analysis. Develop methods for analysis of...,Principal Statistician,Statistician,South San Francisco,CA,,
655,The Climate Corporation,"San Francisco, CA",Not available,"Our environment is extremely engaging and fast-paced, with a diverse set of top engineers, agronomists, and statisticians working together to provide the best...",Intern: Design,Internship,San Francisco,CA,,
656,EPM SCIENTIFIC,"San Francisco, CA","$150,000 - $170,000 a year","Statisticians part take in world-class methodological research. Statisticians work hand in hand with clinical pharmacology modeling and simulation, epidemiology...",Principal Biostatistician,Other,San Francisco,CA,,
657,FREEDOM CONSULTING GROUP,"Springfield, VA",Not available,"Hello jobseeker! We are Freedom Consulting Group. Here, employees have the freedom to spread their creative wings. With a team of experienced leaders and top...","Statistician/Data Scientist, Mid Level (28-05)",Data Scientist,Springfield,VA,,
658,TEXAS DEPARTMENT OF PUBLIC SAFETY,"Austin, TX",Not available,DPS - DLD - Business Intel Statistician (00003891). TEXAS DEPARTMENT OF PUBLIC SAFETY....,DPS - DLD - Business Intel Statistician,Statistician,Austin,TX,,
659,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",Not available,The senior programmer will partner with statisticians to solve problems; Provide technical consultation and analytical support to early development...,Senior Statistical Programmer,Other,South Plainfield,NJ,07080,
660,KBRWyle,"Houston, TX",Not available,Biostatistician (Johnson Space Center)-1070342 The primary function of this position is to provide biostatistical consultant services to personnel supporting...,Biostatistician (Johnson Space Center),Other,Houston,TX,,
661,RTI International,"Durham, NC",Not available,We are seeking a statistician with expertise in substance use disorders to lead and collaborate on our work on the opioid crisis....,Sr. Statistician/Principal Investigator—Substance Use Disord...,Statistician,Durham,NC,,
662,New York University,"New York, NY",Not available,"PRIISM (The Center for Practice and Research at the Intersection of Information, Society, and Methodology) is a group of applied statisticians based in...",Administrative Manager,Management,New York,NY,,
663,EPM SCIENTIFIC,"San Francisco, CA","$180,000 - $190,000 a year",Presents as a lead statistician and supervise statistical efforts for multiple clinical studies and/or clinical program. Sr....,Sr. manager/ AD biostatistics,Management,San Francisco,CA,,
664,Lawrence Berkeley National Laboratory,"San Francisco Bay Area, CA",Not available,"Become an essential member of a diverse team of cosmologists, statisticians and computer scientists, working together to develop novel statistical and machine...",Computational Cosmology Postdoctoral Scholar,Other,San Francisco Bay Area,CA,,
665,Akuna Capital,"Chicago, IL 60603 (Loop area)",Not available,"Akuna's Quantitative Trading and Research team is looking to add Junior Quant Researchers to a team of mathematicians, statisticians and technologists....",Junior Quantitative Researcher,Research,Chicago,IL,60603,(Loop area)
666,Bank of America,"Charlotte, NC 28255 (Wilmore area)",Not available,"QF uses quantitative techniques extensively, and is staffed by mathematicians, statisticians, and programmers that apply quantitative methods to risk management...",Corporate Investment Quantitative Finance Analyst,Other,Charlotte,NC,28255,(Wilmore area)
667,TransUnion,"Chicago, IL 60661 (Near West Side area)",Not available,"As an Analyst on our team, you will join a world class group of statisticians, data scientists, mathematicians, and modelers on a mission to extract insights...",DATA SCIENTIST - FRAUD,Data Scientist,Chicago,IL,60661,(Near West Side area)
668,MMS Holdings Inc.,"Canton, MI 48187",Not available,Provides support to Data Safety Monitoring Boards (DSMB) by preparing and presenting output as the unblinded statistician....,Senior Biostatistician,Other,Canton,MI,48187,
669,University of Colorado,"Aurora, CO",Not available,"Strong attention to detail, with ability to problem solve and resolve questions/concerns with investigators, faculty, or other statisticians....",Research Instructor (Biostatistics Analyst),Research,Aurora,CO,,
670,Pfizer,"San Diego, CA 92121",Not available,"In depth knowledge of more than one area of statistics, all commonly used, that enables to exert broad influence via advice to numerous project statisticians....",Director / Senior Director Biostatistics,Management,San Diego,CA,92121,
671,JP Morgan Chase,"Columbus, OH 43240 (Far North area)",Not available,"Data scientist, statistician, and related professions) in a quantitative field:. JP Morgan Chase....",CCB Risk - Risk Analytics - Strategic Analytics - Associate,Analytics,Columbus,OH,43240,(Far North area)
672,Opinion Dynamics Corporation,"San Francisco Bay Area, CA",Not available,"Our ideal candidate is someone who is just as comfortable using the left-side of the brain as the right, enjoys a challenge, relishes learning new things, and...",SENIOR CONSULTANT,Other,San Francisco Bay Area,CA,,
673,M&T Bank,Montana,Not available,"This position is responsible for directing our on-shore and off-shore analytics team comprising of database analysts, statisticians, and business intelligence...",Customer Analytics & Sciences Manager,Analytics,Montana,,,
674,Sanofi,"Bridgewater, NJ",Not available,Coordinate the activity of statisticians working on the project. Lead statistician on a product project team or within a Business Unit for Medical Affairs....,"Senior Project Lead (Director) Statistician, Global Medical...",Statistician,Bridgewater,NJ,,
675,Emory University,"Atlanta, GA",Not available,Develop statistical plan for priority research questions in coordination with BRINDA authors and statistician. Review code and statistical analyses performed by...,Post Doctoral Fellow- Global Health,Other,Atlanta,GA,,
676,Sarah Cannon Network,"Nashville, TN",Not available,Senior Clinical Data Manager - Work From Home(Job Number: 25319-5614) Work Location: United States-Tennessee-Nashville-Sarah Cannon Clinical Operations...,Senior Clinical Data Manager - Work From Home,Management,Nashville,TN,,
677,Yale New Haven Hospital,"New Haven, CT",Not available,"Manages the business development/proposal submission process involving multidisciplinary teams of physicians, statisticians, health services researchers,...","Project Mgr, Proposal/Bus Dev",Other,New Haven,CT,,
678,Natera,"San Carlos, CA 94070",Not available,"Collaborate with molecular biologists, computational biologists, and statisticians to build research strategies that solve challenging problems....",Staff Scientist - Emerging Technology and Cancer Biology,Other,San Carlos,CA,94070,
679,Harvard Pilgrim Health Care,"Boston, MA",Not available,"Create and maintain programs to perform analyses and generate routine and ad hoc reports, in close consultation with investigators, statisticians and senior...",Research Analyst,Research,Boston,MA,,
680,TransUnion,"Chicago, IL 60661 (Near West Side area)",Not available,"Work closely with a team of world-class statisticians, data scientists, modelers, and industry experts on a mission to extract new and exciting insights about...",SR. RESEARCH AND CONSULTING MANAGER,Management,Chicago,IL,60661,(Near West Side area)
681,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",Not available,"Overview Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek...",Statistical Manager,Management,Seattle,WA,98109,(Westlake area)
682,Mayo Clinic,"Rochester, MN 55901",Not available,"It currently houses 12 PhDs, 19 Masters Statisticians, and 27 bachelors- trained statisticians. This 2-3 year position provides at least 75% protected time for...",Faculty in Cancer Center Statistics,Other,Rochester,MN,55901,
683,SimulStat Incorporated,United States,Not available,"Review protocol and SAP, write/review analysis data specifications, etc. Interact with Statisticians, Clinical Data Programmers, Data Managers, Clinical...","Senior Manager, Statistical Programming",Management,United States,,,
684,InfinityQS International Inc,"Fairfax, VA",Not available,"Developed by industrial statisticians and used in the industry for more than 30 years, InfinityQS’ saves leading manufacturers millions of dollars each year....",Account Manager,Management,Fairfax,VA,,
685,Amazon.com,"Seattle, WA",Not available,"In a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and business groups....",Business Intel Engineer,Other,Seattle,WA,,
686,Akuna Capital,"Chicago, IL 60603 (Loop area)",Not available,"Akuna's Quantitative Trading and Research team is looking to add Quants to a team of mathematicians, statisticians and technologists....",Quant- Market Microstructure / Low Latency Strategies,Other,Chicago,IL,60603,(Loop area)
687,SAS Institute,"Cary, NC",Not available,"Open to doctoral candidates in economics, statistics, finance and related graduate programs in the United States, this fellowship offers an opportunity to work...",Econometrics Summer 2019 Fellowship (PhD),Other,Cary,NC,,
688,Ludlow Public Schools,"Ludlow, MA 01056",Not available,Directs student managers and statisticians on respective teams. ALL POSITIONS ARE DEPENDENT ON STUDENT ENROLLMENTSpring CoachesBoys Baseball Varsity CoachBoys...,Spring Coaches,Other,Ludlow,MA,01056,
689,Not available,"Washington, DC",$30.17 an hour,"He/she will be a member of an exciting, highly motivated, and inter-disciplinary team of researchers and managers (i.e., ecologists, physical geographers,...",Environmental Assessment Research Support at EPA,Research,Washington,DC,,
690,College of William and Mary,"Williamsburg, VA 23185",Not available,"The candidates will also be exposed to opportunities to tackle tough, large scale machine learning problems alongside with statisticians and engineers....",Postdoctoral Research Associate of Computer Science,Research,Williamsburg,VA,23185,
691,RetailNext,"San Jose, CA",Not available,"At heart, you are a business professional equipped with a toolbox of quantitative techniques to drive change at the enterprise level, not a passionate...",Insight Analyst,Other,San Jose,CA,,
692,UnitedHealth Group,"Green Bay, WI 54311",Not available,"As the lead statistician, candidate will also mentor other modelers on the team. What’s your next step?...",Associate Director Business Intelligence,Business Intelligence Analyst,Green Bay,WI,54311,
693,Erlanger Health System,"Chattanooga, TN",Not available,"Create Data Dictionary, per protocol and in conjunction with principal investigator and statistician. Support the data-management process for clinical research...",Research Coordinator III - Clinical Research - Full-Time,Research,Chattanooga,TN,,
694,MONSANTO,"St. Louis, MO",Not available,"As part of our diverse, highly dynamic group, you will be driving big data challenges and will lead a team of exceptional data scientists with diverse...",Genomic Prediction Technical Lead,Management,St. Louis,MO,,
695,W. L. Gore & Associates,"Phoenix, AZ",Not available,"As a leading manufacturer of vascular grafts, endovascular and interventional devices, surgical meshes for hernia repair, and sutures, we are looking for a...",Statistician - Medical Device Mfg,Statistician,Phoenix,AZ,,
696,Cleveland Clinic,"Cleveland, OH 44195 (Fairfax area)",Not available,"Manages a clinical trials team (external industry team members, statisticians, database programmers and researchers) responsible for data accumulation, input...",Clinical Project Manager,Management,Cleveland,OH,44195,(Fairfax area)
697,Talent Savant,"Springfield, VA",Not available,Statistician Methodologist with TS/SCI Clearance. Work as part of a collaborative team in a dynamic environment as Senior Statistician Methodologist. Sr....,Sr. Statistician Methodologist - TS/SCI Required,Statistician,Springfield,VA,,
698,Seattle Children’s,"Seattle, WA",Not available,"Oversee work of other statisticians, statistical programmers and data managers. Serve as lead statistician on clinical trials or observational studies and...",Biostatistician III,Other,Seattle,WA,,
699,Transmedics.com,"Andover, MA",Not available,"Ability to work effectively with clinical managers, data managers and statisticians. TransMedics, Inc., is the world's leader in portable ex-vivo warm perfusion...",Senior Clinical Statistical Programmer,Other,Andover,MA,,
700,Astex Pharmaceuticals,"Pleasanton, CA",Not available,Assist the study team statistician to complete the Statistical Analysis Plans required for different clinical studies....,Biostatistical Programming,Other,Pleasanton,CA,,
701,Altair Engineering,Michigan,Not available,"We are looking for a motivated and talented Statistician to work on supply chain analytics problems. Altair ProductDesign is a global, multi-disciplinary...",Data Scientists Decisions Science Support,Data Scientist,Michigan,,,
702,Social & Scientific Systems Inc.,"Durham, NC 27703",Not available,Works closely with lead statistician to translate study outcomes and protocol specifications into eCRF design;...,Data Manager III,Management,Durham,NC,27703,
703,Kantar Health,"New York, NY",Not available,"Support sales efforts for the linked data with pharmaceutical clients, both researchers and statisticians. We have now moved to a new application and job search...",Senior Biostatistician,Other,New York,NY,,
704,Whole Biome,"San Francisco, CA",Not available,"The successful candidate will also interact closely with a cross-functional team of Molecular Biologists, Statisticians, Operations and Product Marketing....",Fermentation Engineer,Other,San Francisco,CA,,
705,Boston Medical Center (BMC),"Boston, MA 02118 (South Boston area)",Not available,"The Research Assistant will work with a diverse team that comprises physicians, statisticians, engineers, epidemiologists and public health officials....",Research Assistant II,Research,Boston,MA,02118,(South Boston area)
706,Dana-Farber Cancer Institute,"Boston, MA 02115 (Fenway-Kenmore area)",Not available,"Collaborate with a range of researchers, including basic scientists, clinicians, statisticians, and computer scientists....",Research Fellow,Research,Boston,MA,02115,(Fenway-Kenmore area)
707,AstraZeneca,"Gaithersburg, MD 20878",Not available,Provide statistical guidance/oversight to study-level statisticians. Ability to manage and mentor project statisticians....,"Associate Director, Biostatistics CVRM",Management,Gaithersburg,MD,20878,
708,Applied Memetics LLC,"Tampa, FL",Not available,"Provides multi-discipline analytical expertise for the Combatant Command by collaborating with Methodologists, Data Managers, Statisticians, and Cultural...",Target Audience Analyst - DoD Secret Clearance Required,Other,Tampa,FL,,
709,Takeda Pharmaceutical,"Boston, MA",Not available,"Principal Statistician in our Cambridge office. Plan and direct compound level analysis and reporting activities (eg, tables, listings, graphs) including work...",Principal Statistician / Sr. Principal Statistician,Statistician,Boston,MA,,
710,Boehringer Ingelheim,"Ridgefield, CT",Not available,Author or co-author the Analysis Data Set (ADS) specification with the statistician. Reviews the TLFs across the displays for consistency prior to review by the...,Principal Statistical Programmer,Other,Ridgefield,CT,,
711,SunTrust,"Atlanta, GA 30328",Not available,Equally comfortable presenting to a non-technical marketer or a statistician. Are you passionate about leveraging innovative techniques and tools with data &...,Sr. Data Science Analyst,Data Analyst,Atlanta,GA,30328,
712,WESTAT,"Rockville, MD 20850",Not available,Westat is seeking a senior survey sampling statistician. Westat is an employee-owned corporation providing research services to agencies of the U.S....,Senior Survey Sampling Statistician,Statistician,Rockville,MD,20850,
713,Amgen,"Thousand Oaks, CA 91320",Not available,"While managing a team of approximately 50 individuals, she/he will work to build a team of statisticians with the appetite for innovation, technical...",Exec Dir Biostatistics,Management,Thousand Oaks,CA,91320,
714,Flatiron Health,"New York, NY 10007 (Financial District area)",Not available,"As a Machine Learning Software Engineer, you will join our growing team of world-class engineers, statisticians, and clinical experts to deploy machine learning...","Senior Software Engineer, Machine Learning",Other,New York,NY,10007,(Financial District area)
