,Company,Location,Salary,Summary,Title,Job Category
78,Regeneron,"Basking Ridge, NJ",Not available,"LMR, #LI-LR1, Biostatistician, statistician. The Biostatistician implements and executes methodological and statistical aspects of clinical studies under the...",Temp - Biostatistician,Other
80,Bank of America,"Wilmington, DE 19884",Not available,We are looking to hire excellent statisticians at all stages of their careers.The modeling team offers a compelling combination of professional opportunities....,Consumer Behavior Modeler II,Other
90,Macmillan Learning,Remote,Not available,Are you a statistician or statistics educator with a passion for teaching others? This position will be employed through Headway consulting firm working...,Statistics Content Author (Contract),Other
94,UTMB,"Galveston, TX 77550","$62,154 - $69,300 a year","Min Qualifications Masters degree in Biostatistics, Statistics or related field. JOB DESCRIPTION: Provides statistical support services to faculty, staff,...",Biostatistician I - Office of Biostatistics - 63173,Other
101,MaxisIT Inc,"Woodcliff Lake, NJ",Not available,"Working closely with clinicians, statistician, and publication managers to generate and QC outputs for publications; Sr....",Sr Biostatistican Programmer,Other
102,Merck USA,"Madison, NJ",Not available,"To collaborate with Medical researchers, Veterinarians, Project Managers, Laboratory Scientists, Clinical Research Managers, Clinical Research Associates,...",Clinical Data Management Specialist,Other
125,Johns Hopkins University,"Baltimore, MD","$68,000 - $80,000 a year","The biostatistician will collaborate with epidemiologists, statisticians, project coordinators and investigators in a variety of fields to analyze and manage...",Biostatistician,Other
131,Novartis,"East Hanover, NJ",Not available,"Collaborate with cross-functional teams, including lead statisticians, trial statisticians, PK Sciences representatives and other clinical line functions as...","Principal Biostatistician, CD&A, GDD Division",Other
133,Penn State University,"Hershey, PA",Not available,"Collaborates with others such as statisticians, other programmers, database administrators to design or implement applications to meet the specifications of the...",Database Specialist 2,Other
135,Novartis,"East Hanover, NJ",Not available,"Mentor new hires and/or junior Statisticians. Experience in all tasks of a statistician at the. Initiate, drive and implement novel methods and innovative trial...",Sr. Principal Biostastician,Other
139,Boston University,"Boston, MA",Not available,Determine the type of analyses for the project in collaboration with project statistician and principal investigator....,"STATISTICAL PROGRAMMER, School of Medicine, Neurology",Other
147,EXPERIAN,United States,Not available,"Work interactively with a team of highly trained and skilled consultants, project managers, statisticians, and analysts....",Strategy Consultant Commercial Data Science- Remote Position,Other
152,Amazon.com,"Seattle, WA",Not available,"Mentor and develop economists, statisticians, and scientists from other disciplines. Amazon is looking for an economist to answer causal inference questions in...",Sr. Economist,Other
155,Regeneron,"Tarrytown, NY",Not available,"Interface with clinical teams, research scientists, statisticians, and global project teams. The Regeneron Genetics Center (RGC) is a wholly-owned subsidiary of...",Pharmacogenomics Statistical Analyst,Other
158,University of California San Francisco,"San Francisco, CA 94104 (Financial District area)",Not available,"The goal is to compile, store, and analyze the data using emerging software packages and work with statisticians to analyze the data....",Bioinformatics & Computational Data Specialist III: Host Gen...,Other
163,Boston Children's Hospital,"Boston, MA",Not available,"The statistical programmer Assembles and prepares data for reporting and statistical analyses for investigators, statisticians, data managers, and computer...",Statistical Programmer,Other
167,Philips,Home Based,Not available,"Works under the guidance of the project statistician. Statistical Programmer, Senior....","Statistical Programmer, Senior",Other
168,Ohio State University Medical Center,"Columbus, OH 43212","$58,900 a year",One to three years of experience in a statistician capacity required; Biostatistician 1 (Job Opening 442671) - Biostatistician 1 to support biomedical research...,Biostatistician 1,Other
171,Philips,Home Based,Not available,"MS or PhD in Statistics/Biostatistics, or an equivalent degree with 2+ years’ experience as a statistician in device/pharma industry....","Biostatistician, Senior",Other
175,Kallyope,"New York, NY",Not available,"We are seeking a creative and collaborative computer scientist, statistician, or computational geneticist for a role on our computational genomics team....",Computational Geneticist,Other
176,Renken LLC,"Franklin, TN 37064","$70,000 - $76,000 a year","And we’re specifically looking for a talented statistician or data scientist for our fast-paced Franklin, TN office. Renken Consulting LLC is hiring!...",Statistical Analyst,Other
179,Massachusetts General Hospital(MGH),"Charlestown, MA",Not available,The Massachusetts General Hospital (MGH) Corrigan Minehan Heart Center and Cardiovascular Research Center is seeking a highly motivated statistician to work on...,Biostatistician,Other
180,Albert Einstein College of Medicine,"Bronx, NY",Not available,"Enter study-related data, check data for accuracy, and assist with data analyses (maintain regular communication with the project’s statistician)....",Study Coordinator,Other
182,SynMeta,"Wilmington, DE",Not available,"For Levels II and III, participate in TLF shell preparation and review, and assist statistician for SAP preparation....",SAS Programmers,Other
186,Icon plc,"New York, NY",Not available,"Health Economist Location: London/Abingdon (UK) or Boston/NYC (US) This is an opportunity to work for ICON Health Economics (HE), a division of ICON plc, an...",Health Economist,Other
191,Katalyst Healthcares & Life Sciences,"Edison, NJ 08837",Not available,"Create TLF and dataset specifications, in collaboration with statisticians. The primary responsibility of the 'Medical Data Analyst' is to work closely with...",Statistical Programmer,Other
198,Abbott Laboratories,"Santa Clara, CA 95054",Not available,"This role will work with statisticians, statistical programmers, and clinical study teams on clinical studies in a variety of therapy areas....",STATISTICAL ANALYST,Other
201,Mutare Lifesciences,"Hampton, NJ 08827",Not available,Support senior members of Statistical Programming group and statisticians in maintaining efficient interfaces with internal and external customers....,Statistical Programmer,Other
202,605,"New York, NY 10010 (Gramercy area)","$90,000 - $100,000 a year","605 is looking for highly skilled data scientists, statisticians, and other skilled researchers (PhD, ABD, Masters with experience, or comparable)....",Senior Analyst,Other
204,Harvard University,"Boston, MA",Not available,Job CodeRS0356 Statistician I. Participate in the preparation of statistical methods sections of grants and manuscripts under mentorship of Senior Statistician....,Statistical Analyst/Programmer,Other
214,Statistics & Data Corporation (SDC),Remote,Not available,Act as the lead statistician on clinical research projects. Serves as lead biostatistician on clinical studies....,Principal Biostatistician - Remote,Other
215,PRA Health Sciences,Remote,Not available,Performs quality review of analysis dataset and TFL programs developed by other programmers and statisticians. Statistical Programmer II....,Statistical Programmer II,Other
221,Regeneron,"Basking Ridge, NJ",Not available,"This position is for a qualified statistician with experience in the pharmaceutical/biotechnology sector, to collaborate in cross-functional drug development...",Senior Biostatistician,Other
223,USC,"San Diego, CA",Not available,This Biostatistician I will join a well-established group of statisticians and actively contribute to the Institute’s work on clinical research....,Biostatistician I,Other
228,Hudson River Trading,"New York, NY 10005 (Financial District area)",Not available,"At HRT we are mathematicians, computer scientists, statisticians, physicists and engineers. Trading Analysts are responsible for managing trading systems in...",Trading Analyst,Other
229,Pharma RI International,"Woodcliff Lake, NJ",Not available,"To support the Oncology Business Group Biostatistics team by carrying out and conducting programming activities of statistical programmers, and coordinating...",Clinical SAS Programmer (Long-term Contract),Other
230,BSI,United States,Not available,You'll also work with our Internal Clinicians to ensure that the relevant External Clinical Experts and Clinical Statisticians are engaged in the clinical...,Clinical Evaluation Specialist,Other
240,Pfizer,"Groton, CT 06340",Not available,"They will partner with chemists, analysts, chemical engineers, IT professionals and statisticians from across Pfizer R&D and manufacturing organizations to...",Process Modeling Engineer,Other
244,Integrity Applications Incorporated,"Chantilly, VA 20151",Not available,Interact with image scientist and statistician to best interpret empirical results as well as numerical values....,Image Analyst,Other
248,Genentech,"South San Francisco, CA",Not available,The Associate Statistical Scientist typically requires regular guidance from management and works under the direction of a senior statistician operating at the...,Associate Statistical Scientist,Other
254,GCE Solutions,"Bridgewater, NJ",Not available,Been a Trial statistician at the study (any phase). Minimum 3-5 years working as a clinical trial statistician either directly for a pharmaceutical company or...,/Principal / Sr. Clinical Biostatistician (Remote),Other
255,Robarts Clinical Trials,"San Diego, CA 92121",Not available,"Act as subject matter expert, working in conjunction with Statisticians to provide advice and guidance to project teams and other stakeholders in the area of...",SAS Programmer,Other
260,University of California San Francisco,"San Francisco, CA 94104 (Financial District area)",Not available,"The Analyst will assist the Principal Investigator (PI), other collaborators and other statisticians and programmers with data analyses intended for manuscripts...",Programmer Analyst,Other
262,IQVIA,"Morrisville, PA",Not available,"Assists Senior Statistician in providing statistical consultation for clinical programs, including but not limited to randomization, sample size assessments,...","Biostatistician II, Oncology",Other
265,Penn State University,"University Park, PA",Not available,"Positions to be filled are game clock operator, shot clock operator, and statistician. The Penn State New Kensington Athletic Department is seeking individuals...",Basketball Game Day Staff,Other
266,Northwestern University,"Chicago, IL",Not available,"Collaborate with physicians, population scientists, statisticians in project planning and grant writing. Partners with clients to design, develop, implement and...",Bioinformatics Analyst,Other
269,Advertise Purple,"Santa Monica, CA 90403",Not available,"Conduct secondary research, including finding information from industry associations, statisticians and marketing experts. About Advertise Purple:....",Online Marketing Analyst (Entry Level),Other
270,Duke University and Duke University Health System,"Durham, NC",Not available,"Serve as a resource for other statisticians. Collaborate effectively with programmers, statisticians (both junior and senior), medical personnel, methodologists...",BIOSTATISTICIAN II,Other
271,Brigham & Women's Hospital(BWH),"Boston, MA",Not available,"It is envisioned the incumbent will spend 3 days a week at the TIMI Study Group at Brigham and Women’s Hospital and work with the Director of Biostatistics,...",COMPUTATIONAL BIOLOGIST / 40 HOURS / DAY / BWH - TIMI STUDY...,Other
272,Mutare Lifesciences,"Hampton, NJ 08827",Not available,Maintain efficient interfaces with internal and external customers with support of management and the Lead Statistician....,Program Statistical Programmer,Other
275,PAREXEL International,United States,Not available,Provide a supporting role as a non-voting independent statistician providing data and analysis for DMC review. The Senior Biostatistician works independently in...,Senior Biostatistician,Other
277,SimulStat Incorporated,United States,Not available,"Supports lead statistician on very large, complex studies. Serves as a lead statistician on moderate and large projects....",Sr. Biostatistician,Other
278,Salient CRGT,"Fairfax, VA",Not available,"SAS users throughout the agency primarily consists of statisticians, economists, data scientist and analysts; In this role you will:....",SAS Programmer,Other
282,TUFTS University,"Boston, MA 02111 (Central area)",Not available,"Data management services includes partnering with investigators and the HNRCA bioinformatics specialist and statistician to help develop, refine, and implement...",Data Coordinator - Biostatistics and Data Management Core Un...,Other
284,PHASTAR,"Boston, MA",Not available,"If you would like to work with a team of expert statisticians, in a company run and managed by statisticians, where your skills will be valued and nurtured,...",Biostatistician,Other
286,Regeneron,"Basking Ridge, NJ",Not available,"LMR, #LI-LR1, statistician, biostatistician, Stat programmer. Within the BDM Department, leadership skills are needed to organize and schedule deliverables...",Principal Biostatistician,Other
289,University of Pennsylvania,"Philadelphia, PA",Not available,This statistician will work closely with a senior statistician as well as with several collaborating faculty members....,STATISTICAL ANALYST A,Other
295,Stanford University,"Stanford, CA 94305",Not available,"Stanford University, Department of Medicine, Quantitative Sciences Unit (QSU) is seeking a Biostatistician 2 to be with some independence, consult with...",Biostatistician,Other
297,Alaka`ina Foundation Family of Companies,"Fort Detrick, MD",Not available,Collaborate with study statisticians in the development of analysis plans. The Alaka`ina Foundation Family of Companies (FOCs) is comprised of industry...,Science Data Coordinators,Other
299,RAND,United States,Not available,"RAND employs 19 statisticians in Santa Monica, CA, Washington, D.C., and Pittsburgh, PA. RAND statisticians publish their work in numerous peer-reviewed...",RAND Summer Associates Program - STATISTICS,Other
300,IQVIA,"Plymouth Meeting, PA",Not available,"Our people are analysts, statisticians, software engineers, consultants, sales leaders, marketing and product managers, and more....",Analyst,Other
303,GlaxoSmithKline,"Upper Providence, PA",Not available,Practical work experience as a statistician in a clinical research setting. Our statisticians have the opportunity to take part in world-class methodological...,Clinical Statistics - Oncology Focus,Other
307,Amazon.com,"Seattle, WA",Not available,"You will work closely with economists, statisticians, business analysts, and data engineers; Amazon Web Services is the global leader in cloud services....",Applied Scientist,Other
310,Precise Leads,"New York, NY 10001 (Chelsea area)",Not available,"This would be a great role for a software engineer with analytical experience, or a mathematician or statistician with programming experience....",Quantitative Engineer,Other
312,"Moderna Therapeutics, Inc","Cambridge, MA",Not available,"Moderna is seeking a talented and highly motivated statistician with a solid nonclinical statistics background, exceptional consulting skills, and a deep...","Sr./Scientist, Nonclinical Statistics",Other
318,PRA Health Sciences,"Minneapolis, MN",Not available,Serves as an independent reporting statistician on data monitoring committees. You are an experienced statistician who has worked within multiple statistical...,Principal Biostatistician - Remote,Other
319,Harvard University,"Boston, MA",Not available,"With a team of librarians, researchers, educators, statisticians, journalists, information management professionals, product designers, and archivists,...",Systems Specialist - Part-time,Other
320,PRA Health Sciences,Remote,Not available,Trains and mentors new or junior statisticians on statistical methods and PRA procedures. Job Locations (All) | US-Remote....,Senior Biostatistician,Other
321,Craig Hospital,"Englewood, CO 80113",Not available,Serve as the statistician on clinical trials and rehabilitation research projects requiring advanced statistical methods....,Biostatistician,Other
323,Howard Hughes Medical Institute,"Worcester, MA",Not available,"This position will involve working with a multi-disciplinary team of molecular biologists, statisticians and bioinformaticians as we develop and leverage...",Bioinformatician,Other
324,University of Michigan,"Ann Arbor, MI",Not available,"In this position, you will work with a highly cooperative group of clinicians, policy experts, statisticians, economists, health services’ researchers and...",Michigan Value Collaborative / Obstetrics Initiative Data An...,Other
331,Nestle Purina PetCare Company,"St. Louis, MO 63105",Not available,DP Analyst will also work closely with the demand planning statisticians to recommend improvements to demand planning models and calculations and with...,Demand Planning Analyst - Contract,Other
332,National Comprehensive Cancer Network,"Plymouth Meeting, PA",Not available,"We are currently seeking a statistician with experience and interest in health services research to collaborate with researchers in Guidelines development,...",Biostatistician,Other
337,Bristol-Myers Squibb,"New Brunswick, NJ 08903",Not available,Bristol-Myers Squibb is seeking an experienced Statistician to join the Engineering Technologies group within the Drug Product Science and Technology department...,Principal Scientist,Other
338,"Myriad Genetics, Inc.","Salt Lake City, UT 84108 (East Bench area)",Not available,Myriad Genetics seeks a statistician to join a growing statistics group that provides interactive statistical support to interdisciplinary research teams...,Biostatistician I,Other
340,Boston Children's Hospital,"Boston, MA",Not available,"The candidate will also be a member of the Biostatistics and Research Design Center, a group of 15-20 faculty and master’s statisticians with extensive...",Biostatistics/Epidemiology Faculty,Other
341,University of Utah,"Salt Lake City, UT","$39,300 - $64,349 a year","In consultation with supervising statistician, successfully negotiates timelines and manages competing deadlines....",Biostatistician I,Other
344,Hudson River Trading,"Westchester, NY",Not available,"At HRT we are mathematicians, computer scientists, statisticians, physicists and engineers. The Systems team builds and maintains the computers, networks, data...",Data Center Administrator,Other
345,University of Florida,"Jacksonville, FL",Not available,"The department also boasts of invaluable academic resources including large patient base, data manager, clinical trial nurse, dedicated statistician, academic...",ENDOUROLOGIST,Other
351,PAREXEL International,United States,Not available,"Experience in all tasks of a Trial Statistician. The position serves as the primary statistical role with technical accountabilities plus coaching, mentoring...",Principal Biostatistician,Other
359,Barrington James,"King of Prussia, PA",Not available,I'm partnered with an exciting Healthcare and Data centric consultancy looking to bring on a permanent Healthcare Statistician. PA....,Biostatistician SQL + HIPAA,Other
363,Christiana Care Health System,"Newark, DE 19713",Not available,"Mentor and collaborate with statisticians, investigators, and data analysts within the Value Institute and across Christiana Care Health System....",Senior Biostatistician,Other
366,Amgen,"Thousand Oaks, CA 91320",Not available,The Senior Statistician works with the DSI and the Principal Statistician in the development and execution of the simulation plan based on design options and...,Biostatistics Mgr,Other
372,DZS Clinical Services,"Bound Brook, NJ",Not available,Support statisticians with computer programming tasks. Clinical Development Strategy....,Statistical Programmer,Other
376,U.S. Army/U.S. Army Reserve,"Spokane, WA","$1,638 - $2,139 a month","Because of the time you’ll spend studying foreign cultures and social systems, you can explore a future career in the diplomatic service or as an anthropologist...",Psychological Operations Specialist,Other
382,ICF,"Annapolis, MD",Not available,"With “responsible parties” (e.g., clinical trial sponsors, principal investigators, statisticians, etc.). Working at ICF....",Clinical Trials Results Analyst,Other
385,IDEASVOICE,"San Francisco, CA",Not available,"‪We are looking for a mixture between a statistician, scientist, machine learning expert and engineer:. San Francisco, St Petersburg, Kiev....",Date Scientist,Other
389,US Department of Education,"Washington, DC 20597 (Downtown area)","$128,082 - $160,300 a year","In the supervisory capacity, the incumbent provides management, oversight and direction to a staff of approximately seven individuals, including management...","Supervisory Management and Program Analyst, GS-0343-15 (DEU)",Other
395,"Alkermes, Inc.","Waltham, MA 02451",Not available,"Work closely with clinical operations, data management and statisticians to generate statistical output - tables/listing/figures....",Contract Statistical Programmer,Other
398,Katalyst Healthcares & Life Sciences,"Edison, NJ 08820",Not available,This is a research biostatistician position for clinical trials who has a genuine interest in pharmaceutical research and drug development and wanted to be drug...,"Biostatistician, Clinical Trials",Other
400,EMMES,"Rockville, MD 20850",Not available,The Associate SAS Programmer collaborates with statisticians and data management staff to provide programming support for clinical research studies....,Associate SAS Programmer,Other
402,Hudson River Trading,"New York, NY 10005 (Financial District area)",Not available,"At HRT we are mathematicians, computer scientists, statisticians, physicists and engineers. Working as a coder at Hudson River Trading (HRT) means working on a...",Low Level Software Engineer (C++),Other
406,Cogstate,"New Haven, CT 06510 (Downtown area)",Not available,"Support statisticians and scientists with computer programming tasks and reporting. Cogstate is seeking an experienced Senior SAS Programmer in New Haven,...",Senior SAS Programmer,Other
409,PRA Health Sciences,Remote,Not available,Serves as an independent reporting statistician on data monitoring committees. Reviews statistical analyses of other statisticians and interprets results from...,Principal Biostatistician,Other
410,Baylor College of Medicine,"Houston, TX","$75,000 a year","The successful candidate will join a positive and collaborative software development team of ~15 people, which is part of a larger multidisciplinary team...",Application Analyst II,Other
413,Occidental Petroleum,"Houston, TX",Not available,"As an algorithm engineer at OXY, you will be part of a team of mathematicians, statisticians, and analytics engineers that apply advanced algorithmic techniques...",Algorithm Engineer,Other
415,General Dynamics Information Technology,"Springfield, VA 22150",Not available,"Collaborate with statisticians to develop data analysis plans for research efforts; Serves as a top level technical or functional expert, often working on...",Social Science - Level III with TS/SCI clearance,Other
424,VA Commonwealth Univ,"Richmond, VA","$45,000 - $62,000 a year","Collaborate with study team, statistician, investigator and data safety monitors to produce and revise data forms that 1) reflect the study's objectives and...",Oncore Analyst,Other
434,Frontier Science Foundation,"Amherst, NY",Not available,Maintaining communication with the Sponsor and statisticians on CDISC submission studies. Presenting CDISC workflows and associated processes to external...,CDISC Coordinator,Other
435,Akuna Capital,"Chicago, IL 60603 (Loop area)",Not available,"Akuna's Quantitative Trading and Research team is looking to add Quant Traders to a team of mathematicians, statisticians and technologists....",Quantitative Trader,Other
436,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",Not available,"Ability not only to work independently, but also to work collaboratively within multidisciplinary teams including statisticians, clinicians, laboratory-based...","Bioinformatics Analyst I-II, Translational Genomics",Other
438,PHASTAR,"Boston, MA",Not available,"If you would like to work with a team of expert statisticians, in a company run and managed by statisticians, where your skills will be valued and nurtured,...",Senior SAS Programmer,Other
440,AbbVie,"South San Francisco, CA",Not available,"More than 1,000 AbbVie scientists, statisticians, clinicians, and product developers with strong entrepreneurial roots work across these three sites....","Associate Scientist I, Cancer Biology",Other
442,UT Health Science Center at San Antonio,"San Antonio, TX",Not available,Candidates are expected to have experience as a collaborating statistician on a variety of study designs as well as expertise in using statistical software (e.g...,Assistant/Associate/Professor Biostatistician,Other
446,Ariadne Labs,"Boston, MA",Not available,Design and perform complex statistical analyses in consultation with study investigators and senior statistician....,STATISTICAL ANALYST/PROGRAMMER,Other
455,BH Media Group,"Greensboro, NC 27401",Not available,This includes calls from coaches or statisticians offering information for publication and from customers....,Editorial assistant,Other
457,fhi360,"Durham, NC",Not available,Able to function independently as lead statistician. Provide technical oversight to statisticians and programmers implementing research studies....,Senior Biostatistician,Other
458,Charles Schwab,"Lone Tree, CO 80124",Not available,"He/ she will work with statisticians, data engineers, marketing/media teams, and external vendors to deliver insights and solutions based on statistical and...",Sr Statistical Analyst,Other
468,Abbott Laboratories,"Saint Paul, MN",Not available,Implement analyses specified in the protocol or the Statistical Analysis Plan (SAP) while working with the project statistician....,Clinical SAS Programmer,Other
469,ZS Associates,"Princeton, NJ",Not available,3-5 years’ experience work as statistician in life science. ZS is the world’s largest consulting firm focused exclusively on improving business performance...,Biostatistician,Other
471,Farmers Insurance Group,"Wilmington, DE",Not available,"Join a world class group of statisticians, data scientists, mathematicians, and modelers on a mission to extract insights from information and put them to good...",Predictive Analyst / Sr. Predictive Analyst,Other
473,Axio Research LLC,"Seattle, WA 98121 (Belltown area)","$80,000 - $100,000 a year","Reviewing output from programmers and other statisticians for accuracy and interpretation. Axio Research, LLC has an immediate opening for an entry level...",Biostatistician,Other
474,Brigham & Women's Hospital(BWH),"Boston, MA",Not available,The Programmer/Data Manager’s efforts will be coordinated by a statistician who will assist with prioritization and timing of tasks....,IS PROGRAMMER/ANALYST I / 40 HPW / DAY / RHEUMATOLOGY,Other
476,J.D. Power,"Troy, MI",Not available,"Across 18 offices globally, our team of more than 800 professional analysts, statisticians, economists, consultants, and experts in demographics and consumer...",Senior Analyst- Auto Quantitative Analysis,Other
477,Bank of America,"Charlotte, NC 28255 (Wilmore area)",Not available,"Also, the QFA team discusses forecasts derived using complex, statistical models with both technical audiences, including statisticians and modelers, and non...",Sr Quantitative Finance Analyst,Other
478,Synteract,"Morrisville, NC 27560",Not available,"Serves as lead statistician for assigned projects, coordinates and monitors work assignment of other supporting Biostatisticians and programmers....",Biostatistician,Other
484,Exponent,"Philadelphia, PA 19104 (Belmont area)",Not available,"Able to work on diverse technical teams made up of mechanical engineers, biomedical engineers, electrical engineers, materials scientists, statisticians, etc....",Associate,Other
487,"Pharmacyclics, an Abbvie Company","Sunnyvale, CA 94087",Not available,"Accountable for providing Statistical Programming support for clinical trials by collaborating primarily with other statistical programmers, statisticians, and...",Statistical Programmer I,Other
489,Wake Forest University,"Winston-Salem, NC",Not available,"The department has twenty permanent faculty members, with five statisticians whose research interests include the areas of networks, applied probability,...",Assistant Professor of Statistics,Other
492,Waterborne Environmental,"Leesburg, VA 20175",Not available,"Work closely with other ecotoxicologists, exposure & ecological modelers, environmental fate scientists, statisticians, and geospatial analysis experts to...",Senior Scientist / Ecological Risk Assessor (Position Code:E...,Other
494,Heluna Health,United States,Not available,"Assist the Research Scientist and Statistician with preparing, cleaning and extracting data for analysis. Heluna Health invites applications for the position of...",Medical Chart Abstractor - COPING,Other
497,Mayo Clinic,"Rochester, MN 55901",Not available,This candidate will not focus on operations research or require a statistician background. No....,Health Services Analyst,Other
499,Duke University and Duke University Health System,"Durham, NC",Not available,"Ability to work in a complex team environment with medical personnel, clinical monitors, statisticians, and programmers....","ANALYST, IT - DCI",Other
504,Pfizer,"Groton, CT 06340",Not available,Works with statisticians and programming leads to ensure clear specifications for their programmed deliverables are in place....,Senior Statistical Programmer (Sr. Associate),Other
506,Quantium,"San Francisco, CA",Not available,"Our diverse team of experts spans actuaries, statisticians, data scientists, product leaders, strategy consultants, software engineers, delivery managers,...","Vice President, Data Science, Banking & Wealth, US",Other
518,Akuna Capital,"Chicago, IL 60603 (Loop area)",Not available,"Akuna's Quantitative Trading and Research team is looking to add Junior Quant Traders to a team of mathematicians, statisticians and technologists....",Junior Quantitative Trader,Other
519,Indiana University,"Indianapolis, IN 46202",Not available,"Act as a consultant to researchers in the Schools of Medicine, Nursing, Dentistry, and others upon request, independently and/or in collaboration with Faculty...",Biostatistician II,Other
522,Medidata Solutions,"Iselin, NJ 08830",Not available,"Document and summarize analysis results for statisticians, data engineers, and project managers. Medidata is leading the digital transformation of life sciences...",Senior Clinical Statistical Programmer,Other
523,J.D. Power,"Troy, MI",Not available,"Across 18 offices globally, our team of more than 800 professional analysts, statisticians, economists, consultants, and experts in demographics and consumer...",Analyst - Quantitative Analysis,Other
524,Villanova University,"Villanova, PA",Not available,Join a dynamic group of nine statisticians with varied research interests. The Department of Mathematics and Statistics at Villanova University invites...,Assistant Professor of Statistics,Other
527,Tufts Medical Center,"Boston, MA 02111 (Central area)",Not available,Devotes effort to specific research grants as a collaborating statistician-investigator and supervises master's level statisticians who work on those projects....,Special & Scientific Staff CTSI,Other
528,Medpace,"Cincinnati, OH 45212 (Pleasant Ridge area)",Not available,"Ability to work in a team environment with data managers, data coordinators, statisticians, and programmers;...",Clinical Database Programmer,Other
529,Altria Group,"Richmond, VA 23230",Not available,Conducting post-hoc or exploratory statistical analysis together and with guidance from project statistician. Altria Client Services....,SAS Programmer,Other
533,Los Alamos National Laboratory,"Los Alamos, NM","$116,900 - $197,000 a year","We ensure the scientific and technological validity of our approaches by working closely with physicists, engineers, mathematicians, statisticians, computer...",Modeling & Simulation Scientist (Scientist 4),Other
537,BioStaff Solutions,"Blue Bell, PA",Not available,Serves as an independent reporting statistician on data monitoring committees. Reviews statistical analyses of other statisticians and interprets results from...,Principal Biostatistician,Other
538,The Henry M. Jackson Foundation,"Rockville, MD 20852",Not available,"This position will be stationed at the CBCP/MCC office in Rockville, MD, in a team research environment composed of clinicians, basic and translational research...",Bioinformatics Scientist,Other
540,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",Not available,"Ability to work in a team environment with data managers, medical personnel, clinical monitors, statisticians, programmers, and medical writers....",Rave Engineer,Other
541,Virginia Commonwealth University,"Richmond, VA 23284 (The Fan area)","$45,000 - $62,000 a year","Develop Electronic Case Report Forms (eCRFs) — collaborate with study team, statistician, investigator and data safety monitors to produce and revise data forms...",Oncore Analyst,Other
542,LOCKHEED MARTIN CORPORATION,"Marlborough, MA 01752",Not available,Works with statistician to analyze & report results. The Junior Analyst/Implementation Associate supports program & operations initiatives to help ensure timely...,IT Junior Analyst / Implementation Associate,Other
543,PHASTAR,"Raleigh, NC",Not available,"If you would like to work with a team of expert statisticians, in a company run and managed by statisticians, where your skills will be valued and nurtured,...",Senior Biostatistician,Other
545,Amazon.com,"Seattle, WA",Not available,"Our business team of high caliber software developers, statisticians and product managers use rigorous quantitative approaches to ensure that we target the...","Financial Analyst, Sponsored Ads",Other
547,IQVIA,"Kirkland, WA",Not available,Statisticians are expected to work as part of a project team and to take responsibility for timely and high-quality delivery of defined tasks....,"Associate Consultant, Statistics",Other
548,Syneos Health Clinical,Home Based,Not available,Discusses time estimates for completion of study related activities with the Lead Statistician or Biostatistics management and proactively communicate to the...,Principal Biostatistician,Other
559,Abbott Laboratories,"Santa Clara, CA 95054",Not available,"Work with Statistician to write table specifications. At Abbott, we're committed to helping people live their best possible life through the power of health....",SR STATISTICAL ANALYST,Other
561,Silent Spring Institute,"Newton, MA 02460",Not available,"Silent Spring Institute seeks a versatile bioinformatician, data scientist, machine learning expert, or statistician to tackle big data problems in...",Bioinformatics and Data Science for Public Health,Other
562,Dendreon Corporation,"Seattle, WA 98101 (Downtown area)",Not available,Work closely with project statisticians and other team members to produce analyses and summaries of the clinical trial data....,Senior Statistical Programmer,Other
563,"ImmunoGen, Inc.","Waltham, MA 02451",Not available,"Performs and documents programming validation of TLFs, and derived data sets created by other programmers and/or statisticians. Who We Are....",SENIOR/PRINCIPAL SAS PROGRAMMER,Other
566,Natera,Remote,Not available,"The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many...",Laboratory Genetic Counselor,Other
567,Amazon.com,"Seattle, WA",Not available,"You will be working closely with data scientists, statisticians and contributing to existing Machine Learning Models such as Hedonic model used extensively in...",Software Development Engineer,Other
569,Santander Consumer USA,"Dallas, TX",Not available,Statisticians are expected to interact with many other departments in the interest of achieving the overall company objectives....,"Sr. Analyst, Model Development",Other
571,Facebook,"Menlo Park, CA",Not available,"AI Scientists are expected to work alongside with applied statisticians specializing in causal inference and experimental design, so additional experience in...","Applied AI Scientist, Adaptive Experimentation",Other
577,CSL Behring,"King of Prussia, PA",Not available,Collaborate with professional programmers on more complex programming needs and with statisticians on more complex statistical analyses....,Senior Epidemiologist,Other
583,IBM,United States,Not available,"Working both independently and in collaboration with scientists, engineers and other statisticians, you will provide advanced statistical and analytical...",Watson Health Senior Biostatistician,Other
584,Bennett Aerospace Inc.,"Arlington, VA",Not available,"The Public Health Analyst will work with minimal direction and will develop or apply mathematical or statistical theory, computational techniques, algorithms,...",Public Health Analyst,Other
585,Opinion Dynamics Corporation,"Boston, MA",Not available,"We are looking for someone who is just as comfortable using the left-side of the brain as the right, enjoys a challenge, relishes learning new things, and is...",PRINCIPAL CONSULTANT,Other
586,CAFHE Inc.,"Plano, TX","$100,000 - $135,000 a year",Biostatistician will work in the company's Product Development group as the project statistician for multiple clinical studies....,Mid-level or Sr. Biostatistician (SAS),Other
